Falafel Wrap,"Chickpeas, Garlic, Onion, Parsley, Cumin, Flour, Pita bread, Tahini sauce",35,"Blend chickpeas and seasonings. Form balls and fry. Serve in pita with tahini.","Middle Eastern"
Butternut Squash Risotto,"Arborio rice, Butternut squash, Onion, Vegetable broth, Parmesan cheese, White wine",45,"Sauté onion. Add rice and wine. Add broth gradually while stirring. Add squash and cheese.","Italian"
Fish Tacos,"White fish fillets, Corn tortillas, Cabbage, Lime, Sour cream, Cilantro",25,"Cook fish. Assemble tacos with cabbage and sauce. Garnish with cilantro.","Mexican"
Stuffed Bell Peppers,"Bell peppers, Ground turkey, Rice, Tomato sauce, Onion, Garlic, Cheese",55,"Cook filling. Stuff peppers. Bake until tender.","American"
Avocado Toast,"Bread slices, Avocado, Lemon juice, Salt, Red pepper flakes, Olive oil",5,"Toast bread. Mash avocado with seasoning. Spread and drizzle with olive oil.","American"
Mushroom Stroganoff,"Mushrooms, Onion, Garlic, Sour cream, Vegetable broth, Paprika, Egg noodles",30,"Sauté mushrooms and onions. Add broth and simmer. Stir in sour cream. Serve over noodles.","Russian"
Caprese Salad,"Tomatoes, Fresh mozzarella, Basil leaves, Olive oil, Balsamic glaze, Salt",8,"Slice tomatoes and cheese. Arrange with basil. Drizzle with oil and glaze.","Italian"
Sweet Potato Curry,"Sweet potatoes, Coconut milk, Onion, Garlic, Curry powder, Spinach",35,"Sauté onion and garlic. Add curry powder and sweet potatoes. Add coconut milk and simmer. Stir in spinach.","Indian"
Baked Ziti,"Ziti pasta, Marinara sauce, Ricotta cheese, Mozzarella cheese, Parmesan cheese",40,"Cook pasta. Mix with sauce and cheeses. Bake until melted.","Italian"
Chicken Fajitas,"Chicken breast, Bell peppers, Onion, Fajita seasoning, Tortillas",25,"Sauté chicken and vegetables with seasoning. Serve in tortillas.","Mexican"
Tomato Basil Soup,"Tomatoes, Onion, Garlic, Vegetable broth, Basil, Olive oil",30,"Sauté aromatics. Add tomatoes and broth. Simmer and blend.","Italian"
Garlic Butter Salmon,"Salmon fillets, Garlic, Butter, Lemon, Parsley, Salt",20,"Bake salmon with garlic butter and lemon.","American"
Couscous Salad,"Couscous, Cucumber, Tomato, Red onion, Parsley, Lemon juice, Olive oil",15,"Cook couscous. Toss with vegetables and dressing.","Mediterranean"
BBQ Pulled Pork,"Pork shoulder, BBQ sauce, Onion, Salt, Pepper",360,"Slow cook pork and shred. Mix with sauce.","American"
Risotto Primavera,"Arborio rice, Vegetable broth, Peas, Carrots, Parmesan cheese, White wine",45,"Cook rice gradually adding broth. Stir in vegetables and cheese.","Italian"
Sushi Rolls,"Sushi rice, Nori, Cucumber, Avocado, Imitation crab, Soy sauce",50,"Assemble rolls and slice.","Japanese"
Beef Stroganoff,"Beef strips, Mushrooms, Onion, Sour cream, Beef broth, Egg noodles",35,"Sauté beef and vegetables. Add broth and sour cream. Serve over noodles.","Russian"
Chicken Caesar Salad,"Romaine lettuce, Chicken breast, Croutons, Parmesan cheese, Caesar dressing",20,"Cook chicken. Toss all ingredients.","American"
Spinach Lasagna,"Lasagna noodles, Spinach, Ricotta, Mozzarella, Marinara sauce",60,"Layer noodles, spinach, cheese, and sauce. Bake.","Italian"
Tom Yum Soup,"Shrimp, Lemongrass, Lime juice, Fish sauce, Chili paste, Mushrooms",25,"Simmer broth and aromatics. Add shrimp and mushrooms.","Thai"
Poke Bowl,"Rice, Salmon or tuna, Cucumber, Soy sauce, Sesame oil, Scallions",15,"Marinate fish. Assemble bowl.","Hawaiian"
French Toast,"Bread, Eggs, Milk, Cinnamon, Butter",10,"Dip bread in egg mixture and cook.","American"
Shepherd's Pie,"Ground lamb, Carrots, Peas, Onion, Mashed potatoes",50,"Cook filling. Top with potatoes. Bake.","British"
Beef Bulgogi,"Beef slices, Soy sauce, Brown sugar, Garlic, Sesame oil, Scallions",30,"Marinate beef and stir fry.","Korean"
Stuffed Zucchini Boats,"Zucchini, Ground beef, Marinara sauce, Mozzarella",40,"Fill zucchini with cooked filling and bake.","American"
Tuna Salad Sandwich,"Tuna, Mayo, Celery, Bread, Salt, Pepper",5,"Mix tuna and assemble sandwich.","American"
Ramen Bowl,"Ramen noodles, Broth, Egg, Scallions, Soy sauce, Garlic",15,"Cook noodles and add toppings.","Japanese"
Chicken Alfredo,"Fettuccine, Chicken breast, Heavy cream, Parmesan cheese, Butter, Garlic",25,"Cook pasta. Make cream sauce with chicken.","Italian"
Pita Pizza,"Pita bread, Tomato sauce, Mozzarella, Basil",12,"Top pita and bake.","Italian"
Mango Salsa,"Mango, Red onion, Jalapeño, Lime juice, Cilantro, Salt",10,"Dice and mix.","Mexican"
Beef and Broccoli,"Beef strips, Broccoli, Soy sauce, Garlic, Cornstarch",20,"Stir fry and add sauce.","Chinese"
Gazpacho,"Tomatoes, Cucumber, Bell pepper, Garlic, Olive oil, Vinegar",15,"Blend all ingredients and chill.","Spanish"
Chicken Noodle Soup,"Chicken, Carrots, Celery, Egg noodles, Chicken broth, Onion",45,"Simmer ingredients until cooked.","American"
Turkey Meatballs,"Ground turkey, Egg, Bread crumbs, Garlic, Onion, Salt",30,"Form and bake or pan fry.","American"
Cajun Shrimp Pasta,"Shrimp, Pasta, Cream, Cajun seasoning, Garlic",25,"Cook shrimp and combine with sauce and pasta.","American"
Falafel Bowl,"Falafel, Lettuce, Tomato, Cucumber, Tahini, Rice",20,"Serve falafel over rice and vegetables.","Middle Eastern"
Avocado Egg Salad,"Avocado, Eggs, Lemon juice, Salt, Pepper",8,"Mash and mix.","American"
Ratatouille,"Eggplant, Zucchini, Bell peppers, Tomato, Onion, Garlic",45,"Sauté vegetables and simmer.","French"
Minestrone Soup,"Pasta, Beans, Tomatoes, Carrots, Celery, Broth",35,"Simmer vegetables and pasta.","Italian"
Clam Chowder,"Clams, Potatoes, Onion, Celery, Cream, Butter",40,"Simmer and thicken.","American"
Tortilla Soup,"Chicken broth, Tomatoes, Onion, Garlic, Tortilla strips",30,"Simmer and add toppings.","Mexican"
Peanut Noodles,"Noodles, Peanut butter, Soy sauce, Lime juice, Chili flakes",12,"Mix sauce and toss with noodles.","Thai"
Greek Lemon Chicken,"Chicken thighs, Lemon, Garlic, Oregano, Olive oil",50,"Roast with seasoning.","Greek"
Bruschetta,"Baguette, Tomatoes, Basil, Garlic, Olive oil, Salt",12,"Toast bread and top.","Italian"
Pork Fried Rice,"Rice, Pork, Peas, Carrots, Soy sauce, Egg",15,"Stir fry all ingredients.","Chinese"
Sesame Tofu Stir Fry,"Tofu, Broccoli, Soy sauce, Garlic, Sesame seeds",20,"Crisp tofu and stir fry.","Chinese"
Beet Salad,"Beets, Goat cheese, Arugula, Walnuts, Olive oil",25,"Assemble ingredients.","Mediterranean"
Chicken Shawarma,"Chicken, Garlic, Yogurt, Cumin, Paprika, Pita bread",45,"Marinate chicken and grill. Serve in pita.","Middle Eastern"
Egg Drop Soup,"Chicken broth, Eggs, Cornstarch, Scallions",10,"Simmer broth and stir in beaten eggs.","Chinese"
Pesto Pasta,"Pasta, Basil pesto, Parmesan cheese",15,"Mix cooked pasta with pesto.","Italian"
Shrimp Scampi,"Shrimp, Garlic, Butter, Lemon, White wine, Pasta",20,"Cook shrimp in sauce and combine with pasta.","Italian"
Grilled Cheese,"Bread, Cheddar cheese, Butter",8,"Cook sandwich until melted.","American"
Black Bean Soup,"Black beans, Onion, Garlic, Cumin, Broth",30,"Simmer and blend partially.","Latin American"
Cornbread,"Cornmeal, Flour, Sugar, Milk, Eggs, Butter",30,"Mix and bake.","American"
Chicken Gyros,"Chicken, Pita bread, Yogurt, Garlic, Cucumber, Tomato",35,"Cook chicken. Serve with yogurt sauce.","Greek"
Shakshuka,"Eggs, Tomatoes, Onion, Garlic, Paprika",25,"Simmer sauce and poach eggs.","Middle Eastern"
Beef Chili Mac,"Ground beef, Elbow pasta, Tomato sauce, Chili powder, Cheese",30,"Cook beef, add pasta and sauce.","American"
Soba Noodle Salad,"Soba noodles, Cucumber, Sesame oil, Soy sauce, Scallions",12,"Toss ingredients.","Japanese"
Potato Gnocchi,"Gnocchi, Butter, Garlic, Parmesan, Sage",20,"Cook gnocchi and toss in butter sauce.","Italian"
Chicken Pot Pie,"Chicken, Carrots, Peas, Pie crust, Cream",60,"Cook filling and bake in crust.","American"
Carrot Ginger Soup,"Carrots, Ginger, Onion, Vegetable broth",30,"Simmer and blend.","American"
BLT Sandwich,"Bread, Bacon, Lettuce, Tomato, Mayo",10,"Assemble sandwich.","American"
Fried Rice Noodles,"Rice noodles, Cabbage, Soy sauce, Garlic, Egg",15,"Stir fry cooked noodles.","Chinese"
Spinach Quiche,"Eggs, Spinach, Cheese, Pie crust, Milk",45,"Whisk filling and bake.","French"
Taco Salad,"Ground beef, Lettuce, Tomato, Cheese, Salsa, Sour cream",20,"Cook beef and assemble salad.","Mexican"
Pork Ramen,"Pork, Ramen noodles, Broth, Egg, Scallions",60,"Simmer pork and assemble bowl.","Japanese"
Veggie Omelette,"Eggs, Bell peppers, Onion, Spinach, Cheese",10,"Cook vegetables and eggs together.","American"
Chicken Enchiladas,"Tortillas, Chicken, Enchilada sauce, Cheese",35,"Fill tortillas and bake.","Mexican"
Lemon Garlic Pasta,"Pasta, Garlic, Lemon, Parmesan, Olive oil",15,"Toss pasta in sauce.","Italian"
Goulash,"Ground beef, Elbow pasta, Tomato sauce, Onion, Paprika",35,"Simmer ingredients together.","Hungarian"
Chana Masala,"Chickpeas, Tomato, Onion, Garlic, Garam masala",35,"Simmer chickpeas in spiced sauce.","Indian"
Curry Lentils,"Lentils, Coconut milk, Onion, Garlic, Curry powder",30,"Simmer until thick.","Indian"
Kimchi Fried Rice,"Kimchi, Rice, Egg, Scallions, Soy sauce",15,"Stir fry all components.","Korean"
Pho,"Beef broth, Rice noodles, Beef slices, Herbs, Lime",90,"Simmer broth and assemble bowl.","Vietnamese"
Penne Arrabbiata,"Penne, Tomato sauce, Garlic, Red chili flakes, Olive oil",20,"Cook pasta and sauce.","Italian"
Chicken Quesadilla,"Chicken, Tortilla, Cheese, Salsa",12,"Cook filled tortilla.","Mexican"
Pumpkin Soup,"Pumpkin puree, Onion, Garlic, Cream, Broth",25,"Simmer then blend.","American"
Tempura Vegetables,"Assorted vegetables, Tempura batter, Oil",25,"Batter and fry.","Japanese"
Green Smoothie,"Spinach, Banana, Yogurt, Milk",5,"Blend until smooth.","American"
Biryani,"Rice, Chicken, Onion, Saffron, Spices",60,"Cook rice and chicken layered with spices.","Indian"
Pad Kra Pao,"Ground pork, Thai basil, Garlic, Chili, Soy sauce",20,"Stir fry ingredients.","Thai"
Turkey Sandwich,"Turkey slices, Bread, Lettuce, Tomato, Mayo",5,"Assemble sandwich.","American"
Lemon Herb Tilapia,"Tilapia, Lemon, Garlic, Olive oil, Parsley",15,"Bake until tender.","American"
Tortellini Alfredo,"Tortellini, Cream, Parmesan, Butter",15,"Cook tortellini and toss in sauce.","Italian"
Chopped Salad,"Lettuce, Tomato, Cucumber, Red onion, Feta, Vinaigrette",10,"Chop and toss.","Mediterranean"
Vegetable Curry,"Mixed vegetables, Coconut milk, Curry powder, Garlic, Onion",30,"Simmer ingredients.","Indian"
