Chicken Caesar Salad,"Romaine lettuce, Chicken breast, Croutons, Parmesan cheese, Caesar dressing",20,"Grill or pan‑cook chicken breast until done, then slice. Toss romaine lettuce with Caesar dressing, croutons, and grated Parmesan. Top with sliced chicken and serve immediately.","American"
Spinach Lasagna,"Lasagna noodles, Spinach, Ricotta, Mozzarella, Marinara sauce",60,"Cook lasagna noodles until al dente. Layer noodles with ricotta, spinach, mozzarella, and marinara sauce in a baking dish. Repeat layers and bake at 375°F (190°C) until cheese is melted and bubbly.","Italian"
Tom Yum Soup,"Shrimp, Lemongrass, Lime juice, Fish sauce, Chili paste, Mushrooms",25,"Simmer vegetable broth with lemongrass, lime juice, fish sauce, and chili paste. Add shrimp and mushrooms, cooking until shrimp are pink and mushrooms tender. Serve hot with fresh herbs.","Thai"
Poke Bowl,"Rice, Salmon or tuna, Cucumber, Soy sauce, Sesame oil, Scallions",15,"Cook rice and let cool slightly. Dice salmon or tuna and marinate briefly in soy sauce and sesame oil. Assemble bowl with rice, cucumber, marinated fish, and scallions.","Hawaiian"
French Toast,"Bread, Eggs, Milk, Cinnamon, Butter",10,"Whisk eggs, milk, and cinnamon in a bowl. Dip bread slices into mixture. Cook on a buttered skillet until golden brown on both sides. Serve warm.","American"
Shepherd's Pie,"Ground lamb, Carrots, Peas, Onion, Mashed potatoes",50,"Cook ground lamb with diced carrots, peas, and onion until tender. Transfer filling to a baking dish. Spread mashed potatoes evenly on top. Bake at 375°F (190°C) until golden brown.","British"
Beef Bulgogi,"Beef slices, Soy sauce, Brown sugar, Garlic, Sesame oil, Scallions",30,"Marinate beef slices in soy sauce, brown sugar, garlic, and sesame oil for at least 30 minutes. Stir‑fry in a hot skillet until cooked through. Garnish with chopped scallions.","Korean"
Stuffed Zucchini Boats,"Zucchini, Ground beef, Marinara sauce, Mozzarella",40,"Halve zucchinis lengthwise and scoop out centers. Cook ground beef with marinara sauce. Fill zucchini boats with beef mixture, top with mozzarella, and bake at 375°F (190°C) until tender.","American"
Tuna Salad Sandwich,"Tuna, Mayo, Celery, Bread, Salt, Pepper",5,"Mix canned tuna with mayonnaise, diced celery, salt, and pepper. Spread onto bread slices to make sandwiches.","American"
Ramen Bowl,"Ramen noodles, Broth, Egg, Scallions, Soy sauce, Garlic",15,"Cook ramen noodles in broth. Add soy sauce and garlic for flavor. Top with a boiled egg and chopped scallions before serving.","Japanese"
Chicken Alfredo,"Fettuccine, Chicken breast, Heavy cream, Parmesan cheese, Butter, Garlic",25,"Cook fettuccine until al dente. Sauté chicken breast pieces in butter and garlic. Add heavy cream and Parmesan to make sauce. Toss pasta with sauce and chicken.","Italian"
Pita Pizza,"Pita bread, Tomato sauce, Mozzarella, Basil",12,"Spread tomato sauce on pita bread. Top with mozzarella and basil. Bake at 375°F (190°C) until cheese is melted.","Italian"
Mango Salsa,"Mango, Red onion, Jalapeño, Lime juice, Cilantro, Salt",10,"Dice mango, red onion, and jalapeño. Mix with lime juice, chopped cilantro, and salt. Chill before serving.","Mexican"
Beef and Broccoli,"Beef strips, Broccoli, Soy sauce, Garlic, Cornstarch",20,"Stir‑fry beef strips in oil until browned. Add broccoli and cook until tender‑crisp. Stir in soy sauce, garlic, and cornstarch slurry. Cook until sauce thickens.","Chinese"
Gazpacho,"Tomatoes, Cucumber, Bell pepper, Garlic, Olive oil, Vinegar",15,"Blend tomatoes, cucumber, bell pepper, garlic, olive oil, and vinegar until smooth. Chill for at least 1 hour before serving cold.","Spanish"
Chicken Noodle Soup,"Chicken, Carrots, Celery, Egg noodles, Chicken broth, Onion",45,"Sauté onion, carrots, and celery in oil. Add chicken and broth, simmer until chicken is cooked. Stir in egg noodles and cook until tender.","American"
Turkey Meatballs,"Ground turkey, Egg, Bread crumbs, Garlic, Onion, Salt",30,"Mix ground turkey with egg, bread crumbs, garlic, onion, and salt. Form into meatballs. Bake at 375°F (190°C) or pan‑fry until cooked through.","American"
Cajun Shrimp Pasta,"Shrimp, Pasta, Cream, Cajun seasoning, Garlic",25,"Cook pasta until al dente. Sauté shrimp with garlic and Cajun seasoning. Add cream to make sauce. Toss pasta with shrimp and sauce.","American"
Falafel Bowl,"Falafel, Lettuce, Tomato, Cucumber, Tahini, Rice",20,"Cook falafel according to package or recipe. Serve over rice with lettuce, tomato, cucumber, and drizzle with tahini.","Middle Eastern"
Avocado Egg Salad,"Avocado, Eggs, Lemon juice, Salt, Pepper",8,"Mash avocado with lemon juice, salt, and pepper. Chop boiled eggs and mix with avocado. Serve chilled.","American"
Ratatouille,"Eggplant, Zucchini, Bell peppers, Tomato, Onion, Garlic",45,"Sauté onion and garlic in olive oil. Add diced eggplant, zucchini, and bell peppers. Stir in tomatoes and simmer until vegetables are tender.","French"
Minestrone Soup,"Pasta, Beans, Tomatoes, Carrots, Celery, Broth",35,"Sauté carrots, celery, and onion in oil. Add beans, tomatoes, and broth. Simmer for 20 minutes. Stir in pasta and cook until tender.","Italian"
Clam Chowder,"Clams, Potatoes, Onion, Celery, Cream, Butter",40,"Sauté onion and celery in butter. Add diced potatoes and cook until tender. Stir in clams and cream. Simmer until thickened.","American"
Tortilla Soup,"Chicken broth, Tomatoes, Onion, Garlic, Tortilla strips",30,"Sauté onion and garlic. Add tomatoes and chicken broth. Simmer for 20 minutes. Top with crispy tortilla strips before serving.","Mexican"
Peanut Noodles,"Noodles, Peanut butter, Soy sauce, Lime juice, Chili flakes",12,"Cook noodles and drain. Whisk peanut butter, soy sauce, lime juice, and chili flakes into a sauce. Toss noodles with sauce.","Thai"
Greek Lemon Chicken,"Chicken thighs, Lemon, Garlic, Oregano, Olive oil",50,"Marinate chicken thighs in lemon juice, garlic, oregano, and olive oil. Roast at 400°F (200°C) until golden and cooked through.","Greek"
Bruschetta,"Baguette, Tomatoes, Basil, Garlic, Olive oil, Salt",12,"Toast baguette slices. Top with diced tomatoes, basil, garlic, olive oil, and salt. Serve immediately.","Italian"
Pork Fried Rice,"Rice, Pork, Peas, Carrots, Soy sauce, Egg",15,"Cook diced pork in oil. Add peas and carrots, stir‑frying until tender. Stir in rice and soy sauce. Push rice aside, scramble egg, then mix everything together.","Chinese"
Sesame Tofu Stir Fry,"Tofu, Broccoli, Soy sauce, Garlic, Sesame seeds",20,"Cube tofu and pan‑fry until crisp. Add broccoli and stir‑fry with soy sauce and garlic. Sprinkle with sesame seeds before serving.","Chinese"
Beet Salad,"Beets, Goat cheese, Arugula, Walnuts, Olive oil",25,"Roast or boil beets until tender, then slice. Toss with arugula, goat cheese, walnuts, and olive oil.","Mediterranean"
Chicken Shawarma,"Chicken, Garlic, Yogurt, Cumin, Paprika, Pita bread",45,"Marinate chicken in yogurt, garlic, cumin, and paprika for at least 1 hour. Grill or roast until cooked. Serve in pita bread with toppings.","Middle Eastern"
Egg Drop Soup,"Chicken broth, Eggs, Cornstarch, Scallions",10,"Bring chicken broth to a simmer. Stir in cornstarch slurry to thicken slightly. Slowly drizzle beaten eggs while stirring to form ribbons. Garnish with scallions.","Chinese"
Pesto Pasta,"Pasta, Basil pesto, Parmesan cheese",15,"Cook pasta until al dente. Toss with basil pesto and sprinkle with Parmesan before serving.","Italian"
Shrimp Scampi,"Shrimp, Garlic, Butter, Lemon, White wine, Pasta",20,"Cook pasta until al dente. Sauté shrimp in butter and garlic. Add lemon juice and white wine, simmer briefly. Toss shrimp and sauce with pasta.","Italian"
Grilled Cheese,"Bread, Cheddar cheese, Butter",8,"Butter bread slices and place cheddar cheese between them. Cook in a skillet until bread is golden and cheese is melted.","American"
Black Bean Soup,"Black beans, Onion, Garlic, Cumin, Broth",30,"Sauté onion and garlic in oil. Add black beans, cumin, and broth. Simmer for 20 minutes. Blend partially for a creamy texture.","Latin American"
Cornbread,"Cornmeal, Flour, Sugar, Milk, Eggs, Butter",30,"Mix cornmeal, flour, sugar, milk, eggs, and melted butter into batter. Pour into a greased pan and bake at 375°F (190°C) until golden.","American"
Chicken Gyros,"Chicken, Pita bread, Yogurt, Garlic, Cucumber, Tomato",35,"Marinate chicken in yogurt, garlic, and spices for at least 30 minutes. Grill or pan‑cook until golden and cooked through. Slice and serve in warm pita bread with diced cucumber, tomato, and a drizzle of yogurt sauce.","Greek"
Shakshuka,"Eggs, Tomatoes, Onion, Garlic, Paprika",25,"Sauté onion and garlic in olive oil until softened. Add chopped tomatoes and paprika, simmering until sauce thickens. Crack eggs into the sauce, cover, and cook until whites are set but yolks remain runny.","Middle Eastern"
Beef Chili Mac,"Ground beef, Elbow pasta, Tomato sauce, Chili powder, Cheese",30,"Brown ground beef in a skillet. Stir in tomato sauce and chili powder, simmering for 10 minutes. Add cooked elbow pasta and toss. Sprinkle with cheese before serving.","American"
Soba Noodle Salad,"Soba noodles, Cucumber, Sesame oil, Soy sauce, Scallions",12,"Cook soba noodles, drain, and rinse under cold water. Toss with sliced cucumber, sesame oil, soy sauce, and chopped scallions. Chill before serving.","Japanese"
Potato Gnocchi,"Gnocchi, Butter, Garlic, Parmesan, Sage",20,"Cook gnocchi in boiling water until they float. In a skillet, melt butter with garlic and sage. Toss gnocchi in butter sauce and sprinkle with Parmesan.","Italian"
Chicken Pot Pie,"Chicken, Carrots, Peas, Pie crust, Cream",60,"Cook diced chicken with carrots and peas in butter until tender. Stir in cream to make filling. Pour into pie crust, cover with top crust, and bake at 375°F (190°C) until golden brown.","American"
Carrot Ginger Soup,"Carrots, Ginger, Onion, Vegetable broth",30,"Sauté onion and ginger in oil until fragrant. Add chopped carrots and vegetable broth. Simmer until carrots are tender, then blend until smooth.","American"
BLT Sandwich,"Bread, Bacon, Lettuce, Tomato, Mayo",10,"Cook bacon until crisp. Toast bread slices. Spread with mayonnaise, then layer lettuce, tomato, and bacon. Serve immediately.","American"
Fried Rice Noodles,"Rice noodles, Cabbage, Soy sauce, Garlic, Egg",15,"Cook rice noodles and set aside. Stir‑fry cabbage and garlic in oil. Add noodles and soy sauce, tossing to coat. Push aside, scramble egg, then mix everything together.","Chinese"
Spinach Quiche,"Eggs, Spinach, Cheese, Pie crust, Milk",45,"Whisk eggs and milk together. Stir in spinach and cheese. Pour into pie crust and bake at 375°F (190°C) until set and golden.","French"
Taco Salad,"Ground beef, Lettuce, Tomato, Cheese, Salsa, Sour cream",20,"Brown ground beef with taco seasoning. Arrange lettuce in a bowl, top with beef, diced tomato, shredded cheese, salsa, and sour cream.","Mexican"
Pork Ramen,"Pork, Ramen noodles, Broth, Egg, Scallions",60,"Simmer pork in broth until tender. Cook ramen noodles separately. Assemble bowl with noodles, broth, sliced pork, boiled egg, and scallions.","Japanese"
Veggie Omelette,"Eggs, Bell peppers, Onion, Spinach, Cheese",10,"Sauté diced bell peppers, onion, and spinach until softened. Beat eggs and pour into skillet. Cook until set, sprinkle with cheese, and fold omelette.","American"
Chicken Enchiladas,"Tortillas, Chicken, Enchilada sauce, Cheese",35,"Shred cooked chicken and mix with enchilada sauce. Fill tortillas with chicken mixture, roll up, and place in baking dish. Top with more sauce and cheese. Bake until bubbly.","Mexican"
Lemon Garlic Pasta,"Pasta, Garlic, Lemon, Parmesan, Olive oil",15,"Cook pasta until al dente. Sauté garlic in olive oil, add lemon juice and zest. Toss pasta with sauce and sprinkle with Parmesan.","Italian"
Goulash,"Ground beef, Elbow pasta, Tomato sauce, Onion, Paprika",35,"Brown ground beef with onion. Stir in tomato sauce and paprika. Add cooked elbow pasta and simmer until flavors meld.","Hungarian"
Chana Masala,"Chickpeas, Tomato, Onion, Garlic, Garam masala",35,"Sauté onion and garlic in oil. Add tomatoes and garam masala, cooking until fragrant. Stir in chickpeas and simmer until sauce thickens.","Indian"
Curry Lentils,"Lentils, Coconut milk, Onion, Garlic, Curry powder",30,"Sauté onion and garlic in oil. Add lentils, curry powder, and coconut milk. Simmer until lentils are tender and sauce thickens.","Indian"
Kimchi Fried Rice,"Kimchi, Rice, Egg, Scallions, Soy sauce",15,"Sauté chopped kimchi in oil. Add rice and soy sauce, stir‑frying until heated through. Push aside, scramble egg, then mix everything together. Garnish with scallions.","Korean"
Pho,"Beef broth, Rice noodles, Beef slices, Herbs, Lime",90,"Simmer beef broth with spices for depth. Cook rice noodles separately. Assemble bowl with noodles, thin beef slices, hot broth, fresh herbs, and lime.","Vietnamese"
Penne Arrabbiata,"Penne, Tomato sauce, Garlic, Red chili flakes, Olive oil",20,"Cook penne until al dente. Sauté garlic and chili flakes in olive oil. Add tomato sauce and simmer. Toss pasta with sauce and serve.","Italian"
Chicken Quesadilla,"Chicken, Tortilla, Cheese, Salsa",12,"Cook shredded chicken in a skillet. Place tortilla in pan, fill with chicken and cheese, fold, and cook until golden. Serve with salsa.","Mexican"
Pumpkin Soup,"Pumpkin puree, Onion, Garlic, Cream, Broth",25,"Sauté onion and garlic in butter. Add pumpkin puree and broth, simmering until heated. Stir in cream and blend until smooth.","American"
Tempura Vegetables,"Assorted vegetables, Tempura batter, Oil",25,"Dip vegetables into tempura batter. Fry in hot oil until crisp and golden. Drain on paper towels and serve immediately.","Japanese"
Green Smoothie,"Spinach, Banana, Yogurt, Milk",5,"Combine spinach, banana, yogurt, and milk in a blender. Blend until smooth and creamy.","American"
Biryani,"Rice, Chicken, Onion, Saffron, Spices",60,"Sauté onion and spices in oil. Add chicken pieces and cook until browned. Layer rice and chicken with saffron water. Cover and cook until rice is fluffy and chicken tender.","Indian"
Pad Kra Pao,"Ground pork, Thai basil, Garlic, Chili, Soy sauce",20,"Sauté garlic and chili in oil. Add ground pork and cook until browned. Stir in soy sauce and Thai basil, cooking until fragrant.","Thai"
Turkey Sandwich,"Turkey slices, Bread, Lettuce, Tomato, Mayo",5,"Layer turkey slices, lettuce, and tomato between bread slices. Spread with mayonnaise and serve.","American"
Lemon Herb Tilapia,"Tilapia, Lemon, Garlic, Olive oil, Parsley",15,"Place tilapia fillets on a baking sheet. Drizzle with olive oil, lemon juice, and minced garlic. Bake at 375°F (190°C) until tender. Garnish with parsley.","American"
Tortellini Alfredo,"Tortellini, Cream, Parmesan, Butter",15,"Cook tortellini until tender. In a skillet, melt butter and stir in cream and Parmesan. Toss tortellini in sauce and serve.","Italian"
Chopped Salad,"Lettuce, Tomato, Cucumber, Red onion, Feta, Vinaigrette",10,"Chop lettuce, tomato, cucumber, and red onion. Toss with crumbled feta and vinaigrette. Serve chilled.","Mediterranean"
Vegetable Curry,"Mixed vegetables, Coconut milk, Curry powder, Garlic, Onion",30,"Sauté onion and garlic in oil until softened. Stir in curry powder and mixed vegetables. Add coconut milk, bring to a boil, then reduce heat and simmer until vegetables are tender.","Indian"
